,ts_code_sh_index,trade_date,close_sh_index,open_sh_index,high_sh_index,low_sh_index,pre_close_sh_index,change_sh_index,pct_chg_sh_index,vol_sh_index,amount_sh_index,ts_code_sz_index,close_sz_index,open_sz_index,high_sz_index,low_sz_index,pre_close_sz_index,change_sz_index,pct_chg_sz_index,vol_sz_index,amount_sz_index
0,000001.SH,20240417,3071.3806,3008.0614,3071.3806,3002.0564,3007.0681,64.3125,2.1387,413358368.0,416254660.8,399001.SZ,9381.7723,9180.512,9381.7723,9180.512,9155.069,226.7033,2.4763,508600428.0,502192779.0
1,000001.SH,20240416,3007.0681,3043.5505,3052.4346,3005.34,3057.3776,-50.3095,-1.6455,448070473.0,435170805.5,399001.SZ,9155.069,9312.4928,9341.9693,9148.8211,9369.7015,-214.6325,-2.2907,534854124.0,511939842.8
2,000001.SH,20240415,3057.3776,3013.6722,3066.9412,2995.542,3019.4735,37.9041,1.2553,461239244.0,459849043.3,399001.SZ,9369.7015,9228.135,9407.0679,9189.959,9228.2347,141.4668,1.533,544917369.0,537279447.3
3,000001.SH,20240412,3019.4735,3035.5773,3043.5599,3014.8297,3034.2464,-14.7729,-0.4869,334229771.0,363119193.0,399001.SZ,9228.2347,9301.0757,9343.1818,9212.5953,9300.7709,-72.5362,-0.7799,415612902.0,447034865.0
4,000001.SH,20240411,3034.2464,3013.5727,3050.3372,3009.8972,3027.3349,6.9115,0.2283,340894392.0,364147836.5,399001.SZ,9300.7709,9234.9171,9378.4347,9233.2694,9297.9597,2.8112,0.0302,418336786.0,448638280.0
5,000001.SH,20240410,3027.3349,3045.9609,3049.6072,3013.5897,3048.5369,-21.202,-0.6955,348991721.0,364717833.5,399001.SZ,9297.9597,9425.8017,9425.8017,9243.7966,9448.9808,-151.0211,-1.5983,443294887.0,465259775.1
6,000001.SH,20240409,3048.5369,3044.6136,3051.5851,3033.2089,3047.0526,1.4843,0.0487,333489965.0,347834663.5,399001.SZ,9448.9808,9386.7994,9449.6543,9352.352,9394.606,54.3748,0.5788,412613076.0,448490514.9
7,000001.SH,20240408,3047.0526,3057.3255,3077.3512,3045.4692,3069.2959,-22.2433,-0.7247,402936740.0,421808399.7,399001.SZ,9394.606,9512.6014,9525.954,9393.6133,9544.7657,-150.1597,-1.5732,479967967.0,509541036.8
8,000001.SH,20240403,3069.2959,3074.8929,3079.02,3057.3972,3074.9586,-5.6627,-0.1842,363211380.0,392704394.0,399001.SZ,9544.7657,9564.646,9575.5553,9508.6456,9586.9524,-42.1867,-0.44,493309543.0,525224147.9
9,000001.SH,20240402,3074.9586,3076.8752,3085.5365,3063.9808,3077.3786,-2.42,-0.0786,367304262.0,396705813.3,399001.SZ,9586.9524,9633.969,9633.969,9546.4736,9647.0718,-60.1194,-0.6232,530210533.0,570933557.5
10,000001.SH,20240401,3077.3786,3049.0207,3078.4883,3049.0207,3041.1669,36.2117,1.1907,375393640.0,420902006.8,399001.SZ,9647.0718,9451.726,9647.0718,9451.726,9400.8526,246.2192,2.6191,516525373.0,578417634.3
11,000001.SH,20240329,3041.1669,3008.3757,3041.2978,3008.1672,3010.6636,30.5033,1.0132,334822785.0,364571210.1,399001.SZ,9400.8526,9335.1135,9400.8526,9304.7603,9342.9187,57.9339,0.6201,449735060.0,494000509.7
12,000001.SH,20240328,3010.6636,2988.5899,3033.3666,2984.1201,2993.1388,17.5248,0.5855,353200026.0,392929088.7,399001.SZ,9342.9187,9221.5311,9440.3075,9221.5311,9222.4658,120.4529,1.3061,479356183.0,539300591.6
13,000001.SH,20240327,2993.1388,3026.8138,3030.4495,2993.1388,3031.4809,-38.3421,-1.2648,343198010.0,376242896.1,399001.SZ,9222.4658,9437.5578,9437.6713,9222.4658,9449.4292,-226.9634,-2.4019,467138890.0,512601122.8
14,000001.SH,20240326,3031.4809,3026.9218,3036.4939,3006.2597,3026.3055,5.1754,0.171,345928787.0,396410716.1,399001.SZ,9449.4292,9413.2555,9490.7541,9366.0021,9422.6124,26.8168,0.2846,482461755.0,559544397.1
15,000001.SH,20240325,3026.3055,3040.501,3065.2611,3026.3055,3048.0336,-21.7281,-0.7129,387485389.0,443472341.3,399001.SZ,9422.6124,9538.3546,9601.8367,9421.0784,9565.5635,-142.9511,-1.4944,527558320.0,599961542.4
16,000001.SH,20240322,3048.0336,3070.5481,3073.2058,3027.7615,3077.113,-29.0794,-0.945,394740486.0,456762466.6,399001.SZ,9565.5635,9659.8752,9680.2135,9505.9933,9682.5098,-116.9463,-1.2078,565281971.0,640543546.6
17,000001.SH,20240321,3077.113,3084.4116,3090.0513,3069.272,3079.6859,-2.5729,-0.0835,366877968.0,437634616.3,399001.SZ,9682.5098,9736.2318,9758.3348,9663.4854,9717.3729,-34.8631,-0.3588,558907397.0,630132949.2
18,000001.SH,20240320,3079.6859,3058.6478,3081.7547,3056.645,3062.7558,16.9301,0.5528,349187729.0,407432569.7,399001.SZ,9717.3729,9669.7029,9725.3056,9654.5276,9696.6875,20.6854,0.2133,511389021.0,592551703.4
19,000001.SH,20240319,3062.7558,3077.9805,3090.0459,3062.6279,3084.9262,-22.1704,-0.7187,384123680.0,446930657.8,399001.SZ,9696.6875,9723.4036,9785.0974,9696.6875,9752.8338,-56.1463,-0.5757,534551977.0,631009846.3
20,000001.SH,20240318,3084.9262,3057.2093,3085.3124,3055.9221,3054.6359,30.2903,0.9916,406653508.0,485520636.5,399001.SZ,9752.8338,9665.0701,9752.8338,9646.2132,9612.7499,140.0839,1.4573,562355129.0,652383878.1
21,000001.SH,20240315,3054.6359,3031.5229,3056.4473,3023.2152,3038.2339,16.402,0.5399,360268463.0,405917704.0,399001.SZ,9612.7499,9532.4227,9616.4949,9455.5079,9555.4162,57.3337,0.6,476506834.0,538637335.2
22,000001.SH,20240314,3038.2339,3042.4131,3059.9975,3020.637,3043.8346,-5.6007,-0.184,364072290.0,436338838.3,399001.SZ,9555.4162,9598.4179,9675.4706,9489.0184,9604.9936,-49.5774,-0.5162,509058042.0,570907335.1
23,000001.SH,20240313,3043.8346,3053.3413,3061.951,3031.8985,3055.935,-12.1004,-0.396,365047453.0,442453946.3,399001.SZ,9604.9936,9640.0912,9674.1397,9568.8831,9630.5452,-25.5516,-0.2653,527631403.0,612318352.6
24,000001.SH,20240312,3055.935,3068.182,3075.1308,3044.8572,3068.4554,-12.5204,-0.408,415743914.0,494558502.8,399001.SZ,9630.5452,9603.4546,9649.7432,9535.2081,9581.5338,49.0114,0.5115,565737507.0,650816829.4
25,000001.SH,20240311,3068.4554,3042.6188,3068.4554,3035.4451,3046.0192,22.4362,0.7366,361608821.0,427851361.3,399001.SZ,9581.5338,9369.6469,9581.6558,9363.4105,9369.0462,212.4876,2.268,492214428.0,577960576.0
26,000001.SH,20240308,3046.0192,3026.1654,3049.194,3016.9032,3027.4013,18.6179,0.615,319204392.0,370647474.8,399001.SZ,9369.0462,9281.6083,9386.7464,9230.0643,9267.1168,101.9294,1.0999,435687360.0,489979325.2
27,000001.SH,20240307,3027.4013,3040.2111,3063.6924,3023.1177,3039.9309,-12.5296,-0.4122,377154391.0,423391257.0,399001.SZ,9267.1168,9398.051,9454.5352,9267.1168,9395.6541,-128.5373,-1.3681,511178100.0,558270858.9
28,000001.SH,20240306,3039.9309,3041.7518,3060.5629,3034.3536,3047.7931,-7.8622,-0.258,340982739.0,401334635.6,399001.SZ,9395.6541,9366.7097,9487.1871,9309.8447,9416.8042,-21.1501,-0.2246,466361055.0,530447564.7
29,000001.SH,20240305,3047.7931,3027.1028,3052.5413,3022.1777,3039.3055,8.4876,0.2793,383509955.0,458900476.8,399001.SZ,9416.8042,9371.9429,9448.7348,9344.4494,9438.2444,-21.4402,-0.2272,511035318.0,608149760.4
30,000001.SH,20240304,3039.3055,3026.6071,3040.3447,3007.6829,3027.0204,12.2851,0.4058,387760002.0,461727516.6,399001.SZ,9438.2444,9456.3734,9486.7031,9359.8398,9434.7471,3.4973,0.0371,530099408.0,615375587.1
31,000001.SH,20240301,3027.0204,3013.8229,3032.2315,3003.7632,3015.1712,11.8492,0.393,379132184.0,442984248.2,399001.SZ,9434.7471,9345.738,9452.6334,9298.1603,9330.4431,104.304,1.1179,539671125.0,612260432.1
32,000001.SH,20240229,3015.1712,2943.6242,3015.1712,2943.6242,2957.8524,57.3188,1.9379,409696374.0,452808746.1,399001.SZ,9330.4431,9001.2834,9334.9438,9001.2834,9047.0952,283.3479,3.1319,565455991.0,599849958.7
33,000001.SH,20240228,2957.8524,3016.2555,3031.4881,2957.8524,3015.4807,-57.6283,-1.9111,544109093.0,576555221.7,399001.SZ,9047.0952,9293.1467,9391.5246,9047.0952,9269.5679,-222.4727,-2.4,766864111.0,780099170.8
34,000001.SH,20240227,3015.4807,2966.4166,3015.4807,2961.1479,2977.0221,38.4586,1.2918,372984687.0,412614978.5,399001.SZ,9269.5679,9032.2591,9269.5679,9016.6076,9066.0868,203.4811,2.2444,533396102.0,577389504.5
35,000001.SH,20240226,2977.0221,3002.1179,3009.479,2967.0571,3004.881,-27.8589,-0.9271,409026558.0,427564895.8,399001.SZ,9066.0868,9070.2217,9154.5978,9023.3252,9069.415,-3.3282,-0.0367,558701304.0,561535479.0
36,000001.SH,20240223,3004.881,2992.9115,3009.1359,2979.9728,2988.3578,16.5232,0.5529,380083270.0,398232220.7,399001.SZ,9069.415,9074.614,9077.5633,8971.3404,9043.7482,25.6668,0.2838,520275040.0,523724591.6
37,000001.SH,20240222,2988.3578,2945.4465,2988.3578,2944.4988,2950.9556,37.4022,1.2675,354132536.0,365264217.9,399001.SZ,9043.7482,8971.4394,9050.2738,8946.2445,8975.9741,67.7741,0.7551,458089489.0,457124201.2
38,000001.SH,20240221,2950.9556,2906.0243,2994.6149,2898.0496,2922.7302,28.2254,0.9657,444245463.0,450922050.7,399001.SZ,8975.9741,8829.7043,9130.0343,8798.3665,8905.962,70.0121,0.7861,543634895.0,529328781.5
39,000001.SH,20240220,2922.7302,2902.8765,2927.308,2887.4741,2910.544,12.1862,0.4187,350138735.0,357057492.0,399001.SZ,8905.962,8857.5041,8919.8079,8798.4343,8902.3337,3.6283,0.0408,441775862.0,432390342.9
