ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma30,ma60,ts_code_sh_index,close_sh_index,open_sh_index,high_sh_index,low_sh_index,pre_close_sh_index,change_sh_index,pct_chg_sh_index,vol_sh_index,amount_sh_index,ma5_sh_index,ma10_sh_index,ma30_sh_index,ma60_sh_index,ts_code_sz_index,close_sz_index,open_sz_index,high_sz_index,low_sz_index,pre_close_sz_index,change_sz_index,pct_chg_sz_index,vol_sz_index,amount_sz_index,ma5_sz_index,ma10_sz_index,ma30_sz_index,ma60_sz_index
000001.SZ,20231229,9.42,9.48,9.35,9.39,9.45,-0.06,-0.6349,853852.79,803196.744,,,,,000001.SH,2974.9348,2950.8372,2975.0319,2950.0173,2954.7035,20.2313,0.6847,290672687.0,349002967.3,2957.5980200000004,2921.5108699999996,2859.08743,2943.771465,399001.SZ,9524.6895,9434.5805,9534.6765,9427.9155,9441.0545,83.635,0.8859,394147518.0,473608947.0,9317.717840000001,9148.09634,8784.34758,9090.764820000002
000001.SZ,20231228,9.11,9.47,9.08,9.45,9.12,0.33,3.6184,1661591.84,1550256.591,,,,,000001.SH,2954.7035,2913.1096,2961.6476,2909.3886,2914.6138,40.0897,1.3755,339213116.0,392449073.5,2962.70206,2928.7835299999997,2860.5594133333334,2941.72688,399001.SZ,9441.0545,9182.8469,9476.8022,9166.5819,9191.7415,249.313,2.7124,410934103.0,491969687.0,9382.64028,9192.57623,8802.30494,9087.331198333333
000001.SZ,20231227,9.1,9.13,9.02,9.12,9.1,0.02,0.2198,641534.35,582036.661,,,,,000001.SH,2914.6138,2900.1491,2917.9564,2890.165,2898.8787,15.7351,0.5428,247900882.0,279048608.0,2954.7551,2931.57989,2862.1831,2939.617661666666,399001.SZ,9191.7415,9170.2552,9211.4192,9121.1668,9157.2496,34.4919,0.3767,328074139.0,357786160.7,9377.93946,9206.36207,8814.676226666666,9083.846013333334
000001.SZ,20231226,9.19,9.2,9.07,9.1,9.19,-0.09,-0.9793,541896.33,493746.623,,,,,000001.SH,2898.8787,2917.9708,2917.9708,2892.8373,2918.8126,-19.9339,-0.6829,228140855.0,260220552.8,2941.0814,2933.69753,2864.489203333333,2937.75458,399001.SZ,9157.2496,9248.07,9248.4912,9124.8069,9256.283,-99.0334,-1.0699,313615980.0,349655025.9,9343.216579999998,9229.80766,8829.643193333332,9080.751528333332
000001.SZ,20231225,9.18,9.2,9.14,9.19,9.2,-0.01,-0.1087,413970.88,379638.234,9.25,,,,000001.SH,2918.8126,2909.8751,2920.6323,2903.987,2914.7752,4.0374,0.1385,229814178.0,261487251.0,2932.38868,2936.25366,2868.80009,2936.51581,399001.SZ,9256.283,9200.6482,9268.2655,9200.6482,9221.3126,34.9704,0.3792,312079626.0,346625188.4,9314.20362,9258.26411,8856.173333333334,9081.315148333333
000001.SZ,20231222,9.19,9.28,9.11,9.2,9.17,0.03,0.3272,1005645.02,924998.769,9.212,,,,000001.SH,2914.7752,2919.2879,2935.7002,2906.5094,2918.7149,-3.9397,-0.135,296628367.0,327498019.6,2920.35676,2938.97739,2875.88643,2934.570715,399001.SZ,9221.3126,9247.0748,9331.1213,9186.027,9257.0905,-35.7779,-0.3865,396024291.0,451945061.3,9253.52824,9285.62304,8898.06002,9077.513205
000001.SZ,20231221,9.01,9.19,8.99,9.17,9.03,0.14,1.5504,1017046.76,925407.073,9.156,,,,000001.SH,2918.7149,2892.0201,2924.2562,2882.0195,2902.1096,16.6053,0.5722,282541827.0,315943775.5,2913.15904,2937.93055,2882.1718600000004,2932.7775383333333,399001.SZ,9257.0905,9122.4144,9286.0663,9106.1463,9158.4374,98.6531,1.0772,361685200.0,416543193.7,9216.73544,9299.68786,8938.10388,9074.754506666668
000001.SZ,20231220,9.11,9.15,9.03,9.03,9.1,-0.07,-0.7692,715633.63,650511.343,9.138,,,,000001.SH,2902.1096,2932.1186,2937.1011,2902.0395,2932.3908,-30.2812,-1.0326,265562454.0,290838402.1,2910.6582000000003,2932.70665,2886.550836666667,2930.345471666667,399001.SZ,9158.4374,9303.0851,9310.8597,9158.4374,9289.3358,-130.8984,-1.4091,324051149.0,372789942.2,9210.07462,9294.00704,8968.702363333334,9067.969071666668
000001.SZ,20231219,9.12,9.17,9.07,9.1,9.13,-0.03,-0.3286,644070.88,586716.664,9.138,,,,000001.SH,2932.3908,2928.7631,2940.5014,2914.1253,2930.8036,1.5872,0.0542,265926980.0,283234126.2,2917.3606200000004,2929.22101,2891.34559,2927.933435,399001.SZ,9289.3358,9270.198,9331.9927,9225.0089,9279.3889,9.9469,0.1072,317948961.0,359542447.3,9236.49186,9289.85422,9004.585406666667,9061.416171666668
000001.SZ,20231218,9.18,9.24,9.09,9.13,9.21,-0.08,-0.8686,654425.62,599379.044,9.126,9.187999999999999,,,000001.SH,2930.8036,2936.5751,2951.1479,2924.3254,2942.5568,-11.7532,-0.3994,293086999.0,304915893.0,2919.75882,2926.0737500000005,2894.6881566666666,2925.452063333333,399001.SZ,9279.3889,9346.9509,9376.6749,9258.9618,9385.3332,-105.9443,-1.1288,353528302.0,387729425.3,9241.11304,9277.65833,9034.698983333334,9054.116438333333
000001.SZ,20231215,9.2,9.35,9.19,9.21,9.15,0.06,0.6557,988939.42,915126.127,9.128,9.17,,,000001.SH,2942.5568,2966.3015,2976.3094,2940.0266,2958.9856,-16.4288,-0.5552,289327642.0,322083690.8,2925.3151399999997,2922.83595,2896.6615166666666,2923.448746666667,399001.SZ,9385.3332,9449.8882,9507.4311,9368.471,9417.9717,-32.6385,-0.3466,359457507.0,411123703.2,9273.91716,9263.7227,9061.484796666666,9048.9272
000001.SZ,20231214,9.21,9.28,9.15,9.15,9.16,-0.01,-0.1092,742900.56,683211.466,9.124,9.139999999999999,,,000001.SH,2958.9856,2979.699,2986.1773,2958.066,2968.7606,-9.775,-0.3293,271457650.0,312658124.6,2933.36928,2923.26416,2898.2869466666666,2921.3497366666666,399001.SZ,9417.9717,9527.419,9578.6022,9413.8102,9476.6234,-58.6517,-0.6189,366225612.0,424317999.6,9306.093400000002,9261.41442,9083.339563333333,9043.346164999999
000001.SZ,20231213,9.38,9.39,9.15,9.16,9.42,-0.26,-2.7601,1061301.65,981001.231,9.15,9.144,,,000001.SH,2968.7606,2997.3358,2997.3358,2968.7606,3003.4378,-34.6772,-1.1546,282754098.0,331476614.7,2946.69948,2928.6788399999996,2900.3753433333336,2919.918481666667,399001.SZ,9476.6234,9606.4829,9606.4829,9476.6234,9625.2642,-148.6408,-1.5443,367340979.0,437067128.8,9369.730599999999,9289.90261,9104.019563333333,9041.07739
000001.SZ,20231212,9.31,9.5,9.3,9.42,9.35,0.07,0.7487,855016.42,805067.628,9.214000000000002,9.175999999999998,,,000001.SH,3003.4378,2986.3282,3003.7455,2980.4462,2991.4385,11.9993,0.4011,287638762.0,333170576.4,2960.90888,2939.13475,2906.4642066666665,2919.3385466666664,399001.SZ,9625.2642,9616.134,9648.9731,9593.3466,9632.6116,-7.3474,-0.0763,376206630.0,454324857.1,9436.91628,9336.70407,9135.455496666667,9042.241523333334
000001.SZ,20231211,9.22,9.38,9.13,9.35,9.3,0.05,0.5376,1133662.81,1044765.735,9.258000000000001,9.192,,,000001.SH,2991.4385,2956.2905,2995.6698,2930.422,2969.5594,21.8791,0.7368,360216344.0,405351583.2,2973.03586,2946.3973400000004,2913.8129466666664,2918.4652783333336,399001.SZ,9632.6116,9496.4641,9649.8687,9406.697,9553.9227,78.6889,0.8236,421472939.0,506145969.5,9507.56082,9374.336930000001,9169.99985,9042.701823333333
000001.SZ,20231208,9.41,9.45,9.3,9.3,9.44,-0.14,-1.4831,1021151.5,957664.581,9.276,9.202,,,000001.SH,2969.5594,2965.3901,2980.8344,2962.327,2966.2061,3.3533,0.1131,369138705.0,423492311.9,2978.43638,2951.87576,2920.9202633333334,2917.025685,399001.SZ,9553.9227,9531.0468,9592.9163,9500.8096,9519.9076,34.0151,0.3573,436426898.0,538252151.0,9541.278719999998,9407.59794,9205.81229,9041.424781666665
000001.SZ,20231207,9.49,9.49,9.38,9.44,9.5,-0.06,-0.6316,585380.19,552224.831,9.334,9.229,,,000001.SH,2966.2061,2965.6523,2976.0148,2949.1438,2968.9334,-2.7273,-0.0919,296243687.0,348039624.0,2979.88048,2956.62488,2925.38449,2915.3215299999997,399001.SZ,9519.9076,9518.4489,9561.9755,9456.9773,9533.2461,-13.3385,-0.1399,393251788.0,472176918.6,9561.6659,9433.87965,9230.241713333333,9040.397678333333
000001.SZ,20231206,9.44,9.57,9.4,9.5,9.48,0.02,0.211,753055.92,714029.469,9.402,9.276,,,000001.SH,2968.9334,2966.9475,2985.3143,2959.603,2972.2959,-3.3625,-0.1131,294104187.0,336218906.4,2979.91504,2963.30726,2929.4894733333335,2914.0367666666666,399001.SZ,9533.2461,9451.1634,9599.5779,9446.8816,9470.3604,62.8857,0.664,402669613.0,480819528.1,9572.99044,9471.360519999998,9253.116469999999,9043.134343333333
000001.SZ,20231205,9.61,9.62,9.47,9.48,9.63,-0.15,-1.5576,787378.48,750961.22,9.414,9.314,,,000001.SH,2972.2959,3017.0102,3017.0102,2972.2959,3022.9138,-50.6179,-1.6745,293943278.0,340454488.1,2973.6866600000003,2967.29777,2934.1121633333332,2913.1183433333335,399001.SZ,9470.3604,9628.277,9628.277,9470.3604,9660.4439,-190.0835,-1.9676,403217088.0,482035889.2,9542.00968,9489.46298,9276.803226666667,9046.521736666667
000001.SZ,20231204,9.67,9.68,9.61,9.63,9.66,-0.03,-0.3106,605437.85,583664.338,9.469999999999999,9.364,,,000001.SH,3022.9138,3033.298,3038.9794,3022.3477,3031.6358,-8.722,-0.2877,288162053.0,344279696.0,2979.98172,2976.5087900000003,2938.40967,2912.834725,399001.SZ,9660.4439,9715.4746,9736.1138,9660.4439,9720.5715,-60.1276,-0.6186,416813218.0,506888133.6,9547.576140000001,9527.56848,9299.08227,9050.9349
000001.SZ,20231201,9.65,9.68,9.58,9.66,9.68,-0.02,-0.2066,778056.99,749668.364,9.542,9.409,,,000001.SH,3031.6358,3027.353,3035.7599,3010.2333,3029.6727,1.9631,0.0648,286089700.0,335547176.4,2992.397,2985.41669,2943.254503333333,2912.5654366666663,399001.SZ,9720.5715,9723.9269,9752.0207,9624.9184,9726.9153,-6.3438,-0.0652,417748048.0,498585865.7,9580.9059,9561.09231,9324.303783333335,9055.997688333333
000001.SZ,20231130,9.69,9.73,9.62,9.68,9.72,-0.04,-0.4115,901764.57,871481.712,9.59,9.462,,,000001.SH,3029.6727,3021.1025,3030.9086,3013.7678,3021.6874,7.9853,0.2643,282945357.0,326755696.1,3005.0903200000002,2992.4854,2948.1776966666666,2912.40489,399001.SZ,9726.9153,9728.3788,9768.9043,9677.7727,9744.3927,-17.4774,-0.1794,383679951.0,446730903.5,9622.30744,9591.98667,9348.659106666666,9060.80887
000001.SZ,20231129,9.95,9.97,9.7,9.72,9.95,-0.23,-2.3116,1467596.62,1438320.264,9.634,9.518,,,000001.SH,3021.6874,3038.4641,3038.9767,3017.6611,3038.5545,-16.8671,-0.5551,277956448.0,322141206.1,3015.64112,2997.7780799999996,2952.6789366666662,2912.316006666667,399001.SZ,9744.3927,9826.0148,9827.7395,9733.3195,9833.4556,-89.0629,-0.9057,387062917.0,452910473.5,9664.536759999999,9618.7636,9371.676093333333,9065.96963
000001.SZ,20231128,9.99,10.02,9.95,9.95,10.01,-0.06,-0.5994,786174.69,784405.805,9.728,9.571000000000002,,,000001.SH,3038.5545,3028.5983,3039.6945,3020.2306,3031.7002,6.8543,0.2261,268920746.0,317303697.7,3028.89284,3001.28975,2958.0406766666665,2912.705728333334,399001.SZ,9833.4556,9781.5389,9835.137,9742.0053,9785.5667,47.8889,0.4894,384726645.0,455463964.0,9737.155799999999,9639.58274,9402.031490000001,9074.353171666668
000001.SZ,20231127,10.09,10.09,9.97,10.01,10.1,-0.09,-0.8911,836187.85,836268.369,9.804,9.637,,,000001.SH,3031.7002,3038.1864,3038.3578,3015.0076,3040.9717,-9.2715,-0.3049,310517868.0,350705835.5,3030.65012,3005.31592,2962.65564,2913.936525,399001.SZ,9785.5667,9829.5504,9829.5504,9736.7813,9839.5211,-53.9544,-0.5483,416126766.0,478095879.6,9762.18036,9654.87825,9429.159763333333,9086.66103
000001.SZ,20231124,10.11,10.13,10.08,10.1,10.15,-0.05,-0.4926,684694.56,691423.444,9.892,9.717,,,000001.SH,3040.9717,3060.3306,3060.3306,3037.2012,3061.8562,-20.8845,-0.6821,287788413.0,311509355.9,3032.5173,3012.45715,2967.7701,2914.361375,399001.SZ,9839.5211,9932.9731,9932.9731,9816.2753,9933.0199,-93.4988,-0.9413,448224234.0,501783839.7,9785.97028,9683.43809,9458.886356666666,9096.160249999999
000001.SZ,20231123,10.15,10.16,10.07,10.15,10.16,-0.01,-0.0984,846655.87,855904.312,9.986,9.788,,,000001.SH,3061.8562,3041.6779,3062.8665,3034.2969,3043.611,18.2452,0.5995,276592059.0,315612515.6,3038.954,3022.02216,2972.1925300000003,2915.7752766666667,399001.SZ,9933.0199,9846.6828,9938.8419,9814.1697,9855.6604,77.3595,0.7849,448452442.0,508590880.0,9827.1912,9724.749319999999,9486.10561,9110.609135
000001.SZ,20231122,10.26,10.31,10.14,10.16,10.28,-0.12,-1.1673,737489.51,753064.758,10.074000000000002,9.854000000000001,,,000001.SH,3043.611,3060.4984,3067.9625,3043.611,3067.9328,-24.3218,-0.7928,289056490.0,330385482.7,3043.33872,3029.48992,2975.1679433333334,2916.420776666667,399001.SZ,9855.6604,9957.5379,9975.0941,9855.6604,9997.088,-141.4276,-1.4147,482185377.0,545051033.9,9849.444739999999,9756.99075,9507.45277,9123.713224999998
000001.SZ,20231121,10.23,10.35,10.22,10.28,10.19,0.09,0.8832,1041165.73,1072311.504,10.139999999999999,9.934000000000001,,,000001.SH,3067.9328,3074.8281,3089.7738,3063.3449,3068.3191,-0.3863,-0.0126,330733102.0,391558034.9,3049.21438,3039.05361,2978.5241300000002,2917.7470266666664,399001.SZ,9997.088,10050.4765,10113.1889,9981.1142,10022.6973,-25.6093,-0.2555,530720034.0,606515259.4,9882.17122,9809.66351,9529.660236666667,9139.602221666668
000001.SZ,20231120,10.15,10.22,10.1,10.19,10.15,0.04,0.3941,639528.31,650077.37,10.175999999999998,9.99,9.514000000000001,,000001.SH,3068.3191,3056.9268,3072.5134,3043.5148,3054.3655,13.9536,0.4568,287556998.0,367109310.2,3056.53816,3043.59414,2982.0588933333333,2919.703085,399001.SZ,10022.6973,9986.9247,10050.8336,9924.443,9979.6861,43.0112,0.431,463814124.0,560232951.5,9929.597339999998,9845.88885,9550.371886666666,9157.047608333332
000001.SZ,20231117,10.22,10.25,10.12,10.15,10.24,-0.09,-0.8789,903362.17,917616.681,10.186,10.039,9.539333333333333,,000001.SH,3054.3655,3043.617,3055.8561,3033.7472,3050.9257,3.4398,0.1127,267606393.0,328568598.8,3059.21692,3045.86711,2984.706583333333,2921.8970066666666,399001.SZ,9979.6861,9924.1563,9980.3788,9914.4797,9954.4008,25.2853,0.254,417396483.0,498076823.0,9957.63034,9871.80031,9565.53844,9174.943009999999
000001.SZ,20231116,10.38,10.39,10.23,10.24,10.37,-0.13,-1.2536,922621.94,948395.097,10.203999999999999,10.095,9.565666666666667,,000001.SH,3050.9257,3066.8554,3071.4522,3050.9257,3072.8348,-21.9091,-0.713,271079460.0,329364382.7,3057.03082,3047.99241,2987.9139900000005,2924.2367016666667,399001.SZ,9954.4008,10053.8049,10064.9132,9954.4008,10077.9625,-123.5617,-1.2261,426727263.0,521282824.0,9961.90652,9894.548859999999,9582.649983333333,9192.477461666667
000001.SZ,20231115,10.37,10.45,10.34,10.37,10.27,0.1,0.9737,1109140.15,1152154.78,10.246,10.16,9.607333333333335,,000001.SH,3072.8348,3077.0291,3080.1284,3064.3464,3056.0703,16.7645,0.5486,304250107.0,389515978.0,3062.87558,3053.1071500000003,2993.1880233333336,2927.6855616666667,399001.SZ,10077.9625,10111.8331,10122.204,10048.4579,10005.5575,72.405,0.7236,477666773.0,600546928.3,10006.36694,9927.90584,9612.190683333332,9213.433454999999
000001.SZ,20231114,10.24,10.33,10.23,10.27,10.25,0.02,0.1951,596858.88,613377.698,10.244,10.192,9.646333333333333,,000001.SH,3056.0703,3046.8171,3059.5294,3044.4259,3046.5329,9.5374,0.3131,294844733.0,358249840.2,3060.50308,3054.85873,2998.427743333333,2931.458473333333,399001.SZ,10005.5575,9988.5124,10056.8628,9963.5498,9988.8281,16.7294,0.1675,444452182.0,535239000.6,10008.060840000002,9945.116030000001,9640.467613333334,9235.055403333332
