,ts_code,name,count,exchange,list_date,type
0,864005.TI,区块链,20,A,20200102,N
1,864006.TI,固态电池,1,A,20200102,N
2,864007.TI,太阳能,16,A,20200102,N
3,864008.TI,激光雷达,2,A,20200102,N
4,864009.TI,CAR-T,11,A,20200102,N
5,864010.TI,NFT,15,A,20200102,N
6,864011.TI,社交概念,6,A,20200102,N
7,864012.TI,氢能源,3,A,20200102,N
8,864013.TI,WSB概念,14,A,20200102,N
9,864014.TI,基因编辑,5,A,20200102,N
10,864015.TI,邮轮,4,A,20200102,N
11,864016.TI,OLED,4,A,20200102,N
12,864017.TI,太空旅行,12,A,20200102,N
13,864018.TI,AR&元宇宙,10,A,20200102,N
14,864019.TI,老年痴呆,4,A,20200102,N
15,864020.TI,大麻,19,A,20200102,N
16,864021.TI,充电桩,3,A,20200102,N
17,864022.TI,5G,18,A,20200102,N
18,864023.TI,远程办公,4,A,20200102,N
19,864024.TI,3D打印,7,A,20200102,N
20,864025.TI,无人机,2,A,20200102,N
21,864026.TI,SaaS,30,A,20200102,N
22,864027.TI,新冠概念,25,A,20200102,N
23,864028.TI,新能源车,17,A,20200102,N
24,864029.TI,川普概念股,3,A,20211001,N
25,864030.TI,猴痘概念股,6,A,20220517,N
26,864031.TI,避孕概念股,6,A,20220623,N
27,864032.TI,网络安全,6,A,20220824,N
28,864033.TI,卫星概念,4,A,20220905,N
29,864034.TI,世界杯,17,A,20221118,N
30,864035.TI,超级碗,11,A,20230201,N
31,864036.TI,ChatGPT,41,A,20230208,N
32,864037.TI,人工智能,23,A,20230208,N
33,864038.TI,硅谷银行倒闭,36,A,20230313,N
34,864039.TI,ChatGPT插件,3,A,20230327,N
35,883300.TI,沪深300样本股,300,A,20100413,N
36,883301.TI,上证50样本股,50,A,20150922,N
37,883302.TI,上证180成份股,180,A,20150922,N
38,883303.TI,上证380成份股,380,A,20150922,N
39,883304.TI,中证500成份股,500,A,20150916,N
40,885284.TI,稀缺资源,46,A,20070808,N
41,885311.TI,智能电网,192,A,20070808,N
42,885312.TI,物联网,333,A,20090925,N
